10000022-8	Q696262
1000017-3	Q2822396
1000021-5	Q338414
1000029-X	Q1205523
10000336-9	Q101262588
10000359-X	Q117312913
1000054-9	Q334162
10000578-0	Q688353
10000596-2	Q1650436
1000060-4	Q334032
10000655-3	Q34417923
1000075-6	Q579326
1000083-5	Q2166029
1000093-8	Q463271
10000955-4	Q253771
10001186-X	Q734764
1000125-6	Q2370801
1000168-2	Q1792679
10001757-5	Q129811472
10002078-1	Q1614026
10002085-9	Q701338
10002191-8	Q2139665
10002259-5	Q451205
10002382-4	Q193199
10002493-2	Q2597130
10002833-0	Q2415749
1000286-8	Q182542
1000293-5	Q2860422
1000299-6	Q537883
1000302-2	Q1421986
10003233-3	Q1549302
1000352-6	Q2588602
10003624-7	Q372657
10003916-9	Q2861815
1000418-X	Q464915
10004303-3	Q894719
1000447-6	Q4743506
1000449-X	Q743648
10004698-8	Q1359068
1000478-6	Q4743305
10004862-6	Q1205634
10004989-8	Q636978
1000503-1	Q62482056
1000505-5	Q433211
10005175-3	Q880898
10005447-X	Q61628900
1000559-6	Q3626639
1000564-X	Q3626582
10006046-8	Q2532186
1000622-9	Q1736319
1000628-X	Q812155
1000631-X	Q15646111
10006323-8	Q57981252
10006374-3	Q157316
10006440-1	Q1667786
10006857-1	Q27926439
10006882-0	Q2349005
10006883-2	Q186043
10007113-2	Q1885618
10007243-4	Q211620
10007255-0	Q176342
10007737-7	Q4819572
10007770-5	Q1792407
10007934-9	Q871765
10007943-X	Q422412
10007960-X	Q100712425
10008213-0	Q5280589
10008741-3	Q27480237
10008807-7	Q1583731
10008839-9	Q2496316
10008860-0	Q28737484
10009431-4	Q1508259
1000952-8	Q682827
1000959-0	Q1109213
10010164-1	Q1589174
10010486-1	Q687721
10010579-8	Q66086084
1001061-0	Q465308
10011037-X	Q1629070
10011070-8	Q40719909
10011176-2	Q49237735
1001140-7	Q1132636
1001148-1	Q1316546
10011527-5	Q45405177
1001165-1	Q694711
10012191-3	Q737536
10012246-2	Q2063082
10012337-5	Q2895806
10012396-X	Q195436
10012653-4	Q540390
10012714-9	Q1954642
1001281-3	Q3113011
1001286-2	Q616591
10013675-8	Q15452771
1001420-2	Q465330
10014451-2	Q829096
1001454-8	Q299015
1001468-8	Q414115
1001473-1	Q1792159
1001476-7	Q207360
10014764-1	Q1241000
10015047-0	Q15783117
1001507-3	Q2239193
1001512-7	Q953058
1001520-6	Q339759
1001527-9	Q2324325
1001540-1	Q856651
1001545-0	Q630461
1001564-4	Q256684
1001580-2	Q125566528
10015960-6	Q1802381
10016081-5	Q121598278
10016485-7	Q629082
10017020-1	Q812296
10017027-4	Q2043519
1001709-4	Q1419926
1001716-1	Q861141
10017173-4	Q1231433
10017230-1	Q28154531
10017375-5	Q896341
10017460-7	Q1005513
10017689-6	Q315753
1001774-4	Q325448
1001800-1	Q6971937
1001857-8	Q567559
10018667-1	Q1727492
10018726-2	Q1824077
10018795-X	Q788505
10019149-6	Q1954625
10019225-7	Q461277
10019747-4	Q1137665
10020126-X	Q1865146
1002024-X	Q1435653
1002029-9	Q3075566
1002030-5	Q3075695
1002036-6	Q1435690
1002049-4	Q3031850
10021260-8	Q118487282
10021260-8	Q1408821
10021273-6	Q38515539
1002131-0	Q917874
1002178-4	Q49123
10022139-7	Q1792424
1002214-4	Q856423
1002250-8	Q9531
1002269-7	Q111525586
10022847-1	Q689829
1002285-5	Q656801
1002317-3	Q651690
1002336-7	Q1109135
10023377-6	Q317528
10023493-8	Q1135732
1002384-7	Q1005163
10024126-8	Q895596
10024314-9	Q1147735
10024483-X	Q547951
1002465-7	Q162222
10024663-1	Q1006216
1002493-1	Q627510
10025078-6	Q1878943
10025102-X	Q878698
10025216-3	Q470487
10025424-X	Q2002420
10025459-7	Q1381217
10025849-9	Q1483375
10026936-9	Q1058080
10026995-3	Q59468
10027327-0	Q90490414
1002800-6	Q195794
1002805-5	Q3661915
1002811-0	Q1574110
10028517-X	Q2256489
1002858-4	Q209184
10028586-7	Q110467829
1002871-7	Q1281302
10028910-1	Q457233
1002914-X	Q1202260
10029180-6	Q1525564
10029245-8	Q2564532
1002947-3	Q289953
1002954-0	Q798038
1002956-4	Q318826
10029869-2	Q55038
10029887-4	Q2513896
1003071-2	Q20723139
10030830-2	Q117857288
1003084-0	Q298006
10030850-8	Q1416531
10031250-0	Q315161
1003185-6	Q3052794
1003209-5	Q133266386
10032096-X	Q11786767
10032112-4	Q1428399
10032125-2	Q1577252
1003218-6	Q1979511
10032722-9	Q58229319
1003288-5	Q531927
1003289-7	Q678331
10032900-7	Q41226008
1003296-4	Q948882
10032988-3	Q1573181
1003302-6	Q213678
1003311-7	Q3757708
1003317-8	Q1075126
1003319-1	Q214867
1003320-8	Q1068063
1003322-1	Q180788
1003324-5	Q430682
10033448-9	Q564960
1003374-9	Q309195
1003387-7	Q124816078
10033870-7	Q120679375
10034042-8	Q16830825
10034179-2	Q316207
10034289-9	Q874154
1003465-1	Q1814654
1003467-5	Q238587
1003478-X	Q161549
1003482-1	Q1434864
1003491-2	Q273631
1003497-3	Q273542
10035182-7	Q48753455
10035228-5	Q11787008
1003559-X	Q871581
1003577-1	Q3181035
1003599-0	Q126955232
1003650-7	Q811873
10036890-6	Q2524832
1003698-2	Q812310
1003701-9	Q812518
10037195-4	Q1239986
10037515-7	Q96142416
10037841-9	Q2421852
10037886-9	Q2000129
10038092-X	Q1238676
1003858-9	Q100979937
10038635-0	Q524424
1003864-4	Q821530
10038641-6	Q1655099
1003867-X	Q574501
10039172-2	Q15837307
10039212-X	Q17521254
1003922-3	Q1313036
1003939-9	Q828616
1003945-4	Q30296530
1004014-6	Q16949336
1004046-8	Q260528
10040527-7	Q468496
10040797-3	Q1780875
10040950-7	Q19964894
10041041-8	Q1205732
10041369-9	Q1285347
10041540-4	Q109640488
10041547-7	Q1579398
10042613-X	Q875181
10043115-X	Q131673724
10043115-X	Q548427
10043261-X	Q27863572
10043345-5	Q204268
10043872-6	Q317935
1004399-8	Q548721
10044332-1	Q1296257
1004443-7	Q635642
10044443-X	Q72822682
1004446-2	Q161562
1004449-8	Q1709596
10044490-8	Q317087
10044686-3	Q107575865
1004470-X	Q1757535
10044701-6	Q1773980
10045068-4	Q17080885
1004513-2	Q5918091
1004537-5	Q1979547
1004538-7	Q1607793
10045405-7	Q113486042
10045429-X	Q1622057
10045690-X	Q294252
10045790-3	Q1802079
1004592-2	Q315161
1004595-8	Q61063698
1004601-X	Q881849
1004607-0	Q895645
10046171-2	Q763877
1004636-7	Q1153595
10046559-6	Q1596483
10046652-7	Q15783871
1004670-7	Q18630631
10046995-4	Q1473647
10047209-6	Q876727
1004728-1	Q117842689
1004734-7	Q239303
10047511-5	Q1979479
1004757-8	Q1539070
10047891-8	Q300719
10047976-5	Q50561854
10048091-3	Q21042054
10048270-3	Q1665000
10048347-1	Q19961781
10049073-6	Q877566
1004926-5	Q1667757
10049497-3	Q1414278
10049682-9	Q59618031
10049787-1	Q1213111
10049840-1	Q1211711
10050091-2	Q813386
10050375-5	Q696757
10050433-4	Q1384859
1005045-0	Q1202881
10050533-8	Q14592607
1005061-9	Q695546
1005067-X	Q694323
10050709-8	Q2430898
1005082-6	Q15480017
1005100-4	Q1203624
10051110-7	Q107009806
1005140-5	Q490485
1005145-4	Q107013848
10051634-8	Q1201755
10051662-2	Q1205794
1005204-5	Q1665313
1005233-1	Q1674863
10052576-3	Q2349285
10052857-0	Q1399025
10052963-X	Q28541304
10053223-8	Q317179
1005355-4	Q1518570
10053737-6	Q40736988
10053761-3	Q1998467
1005403-0	Q3152810
10054142-2	Q1202827
10054537-3	Q111665731
1005458-3	Q3803773
10055126-9	Q3562246
1005531-9	Q575153
10055357-6	Q1779286
1005538-1	Q1205755
10055530-5	Q1457871
10055804-5	Q62477891
10055917-7	Q19899
10055991-8	Q2050690
1005631-2	Q1723244
10056616-9	Q724429
10056774-5	Q18632403
10056832-4	Q28758377
10056931-6	Q28137242
10056990-0	Q19297722
1005701-8	Q1249519
1005705-5	Q1674865
1005707-9	Q1674857
1005718-3	Q841424
10057389-7	Q124957763
1005757-2	Q623578
1005758-4	Q1672830
1005765-1	Q2371017
1005783-3	Q688284
10058311-8	Q2034845
10058736-7	Q107359728
10059008-1	Q38506
1005950-7	Q1247239
1005963-5	Q7603485
10059765-8	Q2307451
10059872-9	Q1703036
10059953-9	Q191485
10060347-6	Q1691183
1006046-7	Q1400558
1006049-2	Q219555
1006051-0	Q728116
10061140-0	Q2297358
10061352-4	Q814533
10061466-8	Q1284164
1006167-8	Q3152388
10061676-8	Q1713320
10062311-6	Q1206030
10062400-5	Q331679
10062421-2	Q1628567
10062567-8	Q595668
1006261-0	Q1903282
1006268-3	Q763567
1006269-5	Q617343
1006285-3	Q1912093
10063298-1	Q50376654
10063653-6	Q1110174
1006371-7	Q1369881
1006372-9	Q812347
1006404-7	Q1802768
1006454-0	Q876647
1006496-5	Q1381038
10065153-7	Q1813740
10065511-7	Q1610410
10065809-X	Q93514067
1006606-8	Q2324607
10066566-4	Q1457865
10066605-X	Q1680131
10066937-2	Q108834717
1006703-6	Q4201878
10067352-1	Q1813499
1006766-8	Q2256716
10067837-3	Q48756570
1006810-7	Q844926
1006819-3	Q779703
1006821-1	Q857276
1006828-4	Q2400378
1006837-5	Q19675
10068576-6	Q702006
1006859-4	Q1142142
10068828-7	Q157033
1006887-9	Q1398110
1006900-8	Q882056
10069117-1	Q1302607
10069245-X	Q11203476
1006939-2	Q1728089
10069457-3	Q19963787
10069472-X	Q1714400
10069628-4	Q2011578
1006982-3	Q5059479
1006993-8	Q156591
10070261-2	Q162684
1007035-7	Q109658974
1007035-7	Q2436253
10070422-0	Q1911861
1007050-3	Q28471
1007052-7	Q18202230
1007087-4	Q11713098
1007089-8	Q4201575
10070953-9	Q29785976
10071074-8	Q702314
10071132-7	Q1370279
1007135-0	Q49236930
10071544-8	Q578390
10071579-5	Q1674719
10071622-2	Q18020432
10071719-6	Q1205844
10071730-5	Q18190900
1007250-0	Q10520592
10072602-1	Q22694379
10072785-2	Q530991
10072846-7	Q18643284
1007334-6	Q995265
10073644-0	Q2101569
10073682-8	Q1806348
10073784-5	Q700959
1007384-X	Q504721
10074023-6	Q107352692
1007403-X	Q1664768
1007430-2	Q15820495
10074402-3	Q1737967
10074475-8	Q2349034
10074501-5	Q118669868
1007485-5	Q12778078
1007496-X	Q1063819
1007504-5	Q102734
1007512-4	Q4288464
10075190-8	Q1328893
10075219-6	Q1632525
1007556-2	Q1954786
1007559-8	Q188740
1007560-4	Q636400
1007568-9	Q1122595
1007582-3	Q671384
1007583-5	Q1471477
10075855-1	Q1622152
10076721-7	Q80943953
10076914-7	Q564747
1007728-5	Q1781959
10077316-3	Q1560270
1007734-0	Q649250
