100001718	Ferdinando%20Paer.png
100003877	Alletz%2C%20Pons%20Augustin%20%E2%80%93%20Agronome%2C%201763%20%E2%80%93%20BEIC%208768265.jpg
10000492X	Fick%2016Christian%20b.jpg
100009670	Jean-Jacques%20Amp%C3%A8re%20by%20Adam-Salomon.png
100011152	ChristianCarlAndreBH%C3%B6fel.jpg
100016642	Josef%20Arneth.jpg
100029973	Bur%20Gotth%20Struve.jpg
100031900	Johann%20Friedrich%20II%2C%20Duke%20of%20Saxony%20%281529-1595%29%2C%20by%20German%20School%20of%20the%2016th%20century.jpg
100040268	Bianchini%20-%20Storia%20delle%20finanze%20del%20Regno%20delle%20Due%20Sicilie%2C%201971%20-%205813070.tif
10004106X	Louis%20Pierre%20%C3%89douard%2C%20Baron%20Bignon.png
100049974	Guiseppe%20Borri%2C%201627-1695%2C%20physician%2C%20alchemist.jpg
100050395	Bory%20Saint-Vincent%201778-1846.jpg
100052223	Lef%C3%A8vre%20-%20Jean-Fran%C3%A7ois%20de%20Bourgoing.jpg
100052517	Ritratto%20di%20Carlo%20Botta%2C%201800-1899%20-%20Accademia%20delle%20Scienze%20di%20Torino%20-%20Ritratti%200107%20B.jpg
100056083	Johann%20Heinrich%20Bremi%20-%20Burgerbibliothek%20-%20Mss.M%C3%BCl.Gr.A.128.jpg
100057306	Karl%20Christian%20von%20Berckheim.jpg
100059376	Richard%20Fran%C3%A7ois%20Philippe%20Brunck%20-%20Imagines%20philologorum.jpg
100069983	Reus008.jpg
100074642	Giovanni%20casanova.jpg
100076262	Roslin%20Comte%20de%20Caylus.jpg
100077501	Cauchois-Lemaire%201836.JPG
10007894X	Guillaume%20Amfrye%20Chaulieu.jpg
100089003	Abraham%20Hel%20001.jpg
100089925	KFAvonConta.png
100099459	Johann%20Albert%20Fabricius%20-%20Imagines%20philologorum.jpg
100100465	Frans%20Luycx%20-%20Ferdinand%20Charles%2C%20Archduke%20of%20Further%20Austria.jpg
100100600	Hermann%20Adalbert%20Daniel%20.jpg
100101844	Johann%20Friedrich%20Degen%201.jpg
100109551	Bildnis%20Friedrich%20Wilhelm%20D%C3%B6ring.jpg
100112269	Johann%20Heinrich%20Tischbein%20der%20%C3%84ltere%20Ernst%20Christoph%20Dressler%201780.jpg
100113842	Wilhelm%20Drumann.jpg
100115454	%2C%20Anne-Marguerite%20Petit%20Dunoyer.jpg
100116450	Karl%20Egon%20Ebert.jpg
100116523	Johann%20Arnold%20Ebert%20-%20Schriftsteller.jpg
100118569	Joseph%20Hilarius%20Eckhel%20-%20Imagines%20philologorum.jpg
100120393	Christian%20von%20Eggers.jpg
100120784	Christian%20Gottfried%20Elben.PNG
100120849	Johann%20Sigismund%20El%C3%9Fholtz.jpg
100122434	Endlicher.jpg
100123848	%D0%90%D0%B4%D0%BE%D0%BB%D1%8C%D1%84%20%D0%AD%D1%80%D0%BC%D0%B0%D0%BD.gif
10012495X	Erhard%2C%20Christian%20Daniel.jpg
100126030	Salomon%20Frenzel%20von%20Friedenthal.jpg
10012822X	Paolo%20Frisi%20by%20Andrea%20Appiani%20%28cropped%29.jpg
100130828	Louis-Philippe%20de%20S%C3%A9gur.jpg
10013131X	Carl%20Wilhelm%20Ferdinand%20von%20Funck%201804.jpg
100132170	Joseph%20Anselm%20Feuerbach.jpg
100133037	JohannKarlFischerMathematiker.jpg
100142044	Carl%20Friedrich%20Gerstlacher%20%28C.W.Bock%29%20%28cropped%29.jpg
100143539	Christian%20Friedrich%20Germershausen.jpg
10014974X	H%20Leibnitz%20-%20Ferdinand%20Gottlieb%20Gmelin%20-%20%C3%96aL1845%20oR.jpg
100150853	Nikolaus%20Thadd%C3%A4us%20Ritter%20von%20G%C3%B6nner%20Historisches%20Museum%20Bamberg.jpg
100151310	August%20Goldfuss%201841.png
100158218	FHand.jpg
100158463	Karl%20Felix%20Halm%20-%20Imagines%20philologorum.jpg
100160921	Johann%20Ludwig%20Hartmann%20%28Boener%29%20%28cropped%29.jpg
100162258	Adolph%20Henke.jpg
100166326	Carl%20Herlo%C3%9Fsohn.jpg
