10000022-8	Arnold_Sch%C3%B6nberg_Center
1000004-5	Pontificia_Accademia_Romana_di_Archeologia
1000017-3	Accademia_delle_Scienze_di_Torino
1000021-5	Accademia_Toscana_di_Scienze_e_Lettere_%E2%80%9ELa_Colombaria%E2%80%9C
1000029-X	Deutsches_Adelsarchiv
1000054-9	Abtei_Saint-Martin_de_Ligug%C3%A9
10000596-2	Skulpturensammlung_und_Museum_f%C3%BCr_Byzantinische_Kunst
1000060-4	Abtei_Maria_Laach
10000655-3	Zander_%26_Labisch
10000748-X	Arye-Maimon-Institut_f%C3%BCr_Geschichte_der_Juden
10000783-1	Stadtwerke_Baden-Baden
1000093-8	American_Academy_in_Rome
10000955-4	Deutsches_Forum_f%C3%BCr_Kunstgeschichte
10001186-X	University_of_New_South_Wales
10001464-1	Walter-von-Baeyer-Gesellschaft_f%C3%BCr_Ethik_in_der_Psychiatrie
1000168-2	Kunstverein_N%C3%BCrnberg
10001819-1	Rolf-Dieter-Brinkmann-Gesellschaft
10002078-1	Verlag_Schnell_und_Steiner
10002085-9	C%26A
10002191-8	Reichsschuldenverwaltung
10002548-1	Josip-Juraj-Strossmayer-Universit%C3%A4t_Osijek
10002788-X	Schloss_Neu-Augustusburg
1000282-0	D%C3%A9partement_Haut-Rhin
10002833-0	Theater_Erfurt
1000286-8	Archives_nationales
1000288-1	Generalstaatsarchiv
1000299-6	Archivo_General_de_Simancas
1000302-2	Internationaler_Archivrat
10003233-3	K%C3%BCnstlerhaus_Lukas
1000352-6	American_Anthropological_Association
10003732-X	Kulturhistorisches_Museum_G%C3%B6rlitz
1000418-X	American_Historical_Association
10004303-3	Botho-Lucas-Chor
1000449-X	Association_for_Symbolic_Logic
10004698-8	Kunstmuseum_Bayreuth
10004862-6	DFF_%E2%80%93_Deutsches_Filminstitut_%26_Filmmuseum
10004989-8	Arch%C3%A4ologisches_Museum_Istanbul
1000505-5	American_Political_Science_Association
1000515-8	British_Sociological_Association
10005175-3	Museum_Georg_Sch%C3%A4fer
1000559-6	Associazione_Nazionale_Archivistica_Italiana
10005992-2	Voggenreiter_Verlag
10006046-8	Volkssolidarit%C3%A4t
1000622-9	Katholische_Akademie_in_Bayern
1000628-X	Bayerische_Akademie_der_Sch%C3%B6nen_K%C3%BCnste
10006374-3	Neues_Museum_%28Berlin%29
10006440-1	Internationales_K%C3%BCnstlerhaus_Villa_Concordia
1000645-X	Akademie_f%C3%BCr_Lehrerfortbildung_und_Personalf%C3%BChrung
10006857-1	Stiftung_Zollverein
10006882-0	Stiftung_Haus_der_Geschichte_der_Bundesrepublik_Deutschland
10006883-2	Zeitgeschichtliches_Forum_Leipzig
10007113-2	Mainfranken_Theater_W%C3%BCrzburg
10007187-9	Gebr%C3%BCder_Paetel_Verlag
10007243-4	Coimbra-Gruppe
10007715-8	%C3%96sterreichisches_Literaturforum
10007770-5	Kunsthalle_G%C3%B6ppingen
10007800-X	NIOD_Instituut_voor_Oorlogs-%2C_Holocaust-_en_Genocidestudies
10007934-9	Bundesministerium_f%C3%BCr_Klimaschutz%2C_Umwelt%2C_Energie%2C_Mobilit%C3%A4t%2C_Innovation_und_Technologie
10007943-X	Aktion_Mensch
10008741-3	LWL-Museum_f%C3%BCr_Arch%C3%A4ologie_und_Kultur%2C_Westf%C3%A4lisches_Landesmuseum
10008807-7	Tuchfabrik_%28Kulturzentrum%29
10009431-4	Routledge_%28Verlag%29
1000952-8	Frick_Collection
1000953-X	Teachers_College
10009932-4	Haus_Schlesien
10009955-5	Edding
1001002-6	Kenyon_College
10010164-1	Haude_und_Spener
10010486-1	Ringier
1001061-0	American_Jewish_Committee
10011037-X	Horst-Janssen-Museum
10011070-8	Stiftung_Brandenburger_Tor
1001140-7	Serbische_Akademie_der_Wissenschaften_und_K%C3%BCnste
1001148-1	Alliance_Isra%C3%A9lite_Universelle
1001165-1	Arnold-Bergstraesser-Institut
10011906-2	Museum_Giersch
10012191-3	SANAA
10012396-X	Tate_Britain
10012653-4	Deutsch-Franz%C3%B6sische_Brigade
10012714-9	Museum_f%C3%BCr_Kommunikation_Hamburg
1001286-2	Oberlin_College
10013675-8	Theater_Plauen-Zwickau
10013855-X	DEFA-Stiftung
1001420-2	American_Jewish_Congress
1001421-4	J%C3%BCdischer_Weltkongress
10014451-2	Berufsverband_Information_Bibliothek
1001468-8	Akademie_der_P%C3%A4dagogischen_Wissenschaften_der_DDR
1001473-1	Kungliga_Vitterhets_Historie_och_Antikvitets_Akademien
1001476-7	Svenska_Akademien_%28Band%29
10014764-1	Donauschw%C3%A4bisches_Zentralmuseum
10015047-0	Amtsgericht_Friedberg_%28Bayern%29
1001507-3	Schlesische_Bibliothek
1001526-7	Oettingen-Wallersteinsche_Bibliothek
1001527-9	Staatliche_Bibliothek_Regensburg
1001540-1	Biblioth%C3%A8que_nationale_du_Luxembourg
1001545-0	Biblioth%C3%A8que_nationale_et_universitaire_de_Strasbourg
1001564-4	Deutsche_Bischofskonferenz
10015896-1	Collegium_Helveticum
10015960-6	Landesmuseum_Natur_und_Mensch_Oldenburg
10016213-7	Oper_Bonn
10016403-1	Orchestra_dell%E2%80%99Accademia_Nazionale_di_Santa_Cecilia
10016774-3	Katholischer_Medienverband
1001684-3	Consiglio_Nazionale_delle_Ricerche
10017020-1	Bayerische_Theaterakademie_August_Everding
10017027-4	PEN-Zentrum_Deutschland
1001709-4	South_African_Broadcasting_Corporation
1001716-1	RAND_Corporation
10017173-4	Freie_Universit%C3%A4t_Bozen
10017375-5	Otto-Suhr-Institut
1001857-8	Ministerrat_der_Deutschen_Demokratischen_Republik
10018617-8	Tschaikowsky-Symphonieorchester_des_Moskauer_Rundfunks
10018726-2	Liedehrlich
10018827-8	Ephraim-Palais
10019149-6	Museum_f%C3%BCr_Gegenwartskunst_%28Siegen%29
10019848-X	Richard-Wossidlo-Gymnasium_%28Ribnitz-Damgarten%29
10020126-X	Literaturhaus_Mattersburg
1002024-X	Fondation_Hardt_pour_l%E2%80%99%C3%A9tude_de_l%E2%80%99antiquit%C3%A9_classique
1002027-5	Fondation_Maeght
1002030-5	Fondation_nationale_des_sciences_politiques
1002036-6	Fondazione_Giorgio_Cini
10020747-9	Agentur_f%C3%BCr_Bildung_und_Internationalisierung
10021273-6	Institut_f%C3%BCr_Slawistik_der_Universit%C3%A4t_Wien
1002131-0	%C3%85bo_Akademi
10022139-7	Kunsthalle_W%C3%BCrth
1002250-8	British_Broadcasting_Corporation
1002282-X	Schwedisches_Filminstitut
1002285-5	Internationale_Finanz-Corporation
1002317-3	Polnische_Akademie_der_Wissenschaften
10023296-6	Gymnasium_Othmarschen
10023377-6	Deutsche_Industrie-_und_Handelskammer
10023493-8	Corvinus_Presse
1002375-6	Bund_Schweizer_Architektinnen_und_Architekten
1002384-7	Bund_der_Deutschen_Katholischen_Jugend
10023864-6	Haus_Lemke
10024118-9	Geschwister-Scholl-Stiftung
10024126-8	Buchheim-Museum
1002427-X	Bundesassistentenkonferenz
10024314-9	Verein_Deutsche_Sprache
1002465-7	Deutsche_Bundesbank
10024663-1	Bundesinstitut_f%C3%BCr_Kultur_und_Geschichte_der_Deutschen_im_%C3%B6stlichen_Europa
1002493-1	Europ%C3%A4isches_Dokumentations-_und_Informationszentrum
10024978-4	Sparkasse_Bamberg
10024992-9	Institut_f%C3%BCr_Wissenschaft_und_Ethik
10025102-X	X_Filme_Creative_Pool
10025424-X	Universit%C3%A4t_%C3%96rebro
10025453-6	Kulturinitiative_K%C3%BCrbis
10025459-7	Evangelische_Zentralstelle_f%C3%BCr_Weltanschauungsfragen
10025849-9	Karikaturmuseum_Krems
10026041-X	Peter-Weiss-Stiftung_f%C3%BCr_Kunst_und_Politik
10026936-9	Ch._Links_Verlag
10026995-3	Neue_Galerie_New_York
10027064-5	Haus_der_Brandenburgisch-Preu%C3%9Fischen_Geschichte
10027327-0	Burg_Galerie_im_Volkspark
10028517-X	Schweizerische_Gesellschaft_f%C3%BCr_Geschichte
1002858-4	Israelische_Akademie_der_Wissenschaften
10028586-7	Eizenbergerhof
10028642-2	Silpakorn-Universit%C3%A4t
10029180-6	Caricatura_Museum_f%C3%BCr_Komische_Kunst
10029286-0	Hessen-Forst
1002947-3	ADAC
1002954-0	Bach-Archiv_Leipzig
1002956-4	Neue_Bachgesellschaft
10029869-2	Universit%C3%A4t_der_K%C3%BCnste_Berlin
10029887-4	Verband_deutscher_Archivarinnen_und_Archivare
1002994-1	Banco_de_la_Rep%C3%BAblica
10030172-1	B%C3%BCchereien_Wien
10030322-5	Uphagenhaus_Danzig
10030830-2	Chr._Harbers
10030850-8	Ministerium_der_Finanzen_des_Landes_Nordrhein-Westfalen
10031248-2	Brecht-Haus_%28Berlin%29
10031389-9	Universit%C3%A4t_Hradec_Kr%C3%A1lov%C3%A9
10031889-7	M%C3%A4dchengymnasium_J%C3%BClich
10032112-4	Fliegende_Bauten_Hamburg
1003218-6	Neue_Galerie_Graz
10032532-4	Caritas-Pirckheimer-Haus
1003288-5	Bibliothek_Luis_%C3%81ngel_Arango
1003289-7	Kantonsbibliothek_Lugano
10032900-7	Jackson_Pollock_Bar
1003296-4	Brasilianische_Nationalbibliothek
10032988-3	Hamburger_Universit%C3%A4t_f%C3%BCr_Wirtschaft_und_Politik
1003302-6	Vatikanische_Apostolische_Bibliothek
1003311-7	Galleria_civica_d%E2%80%99arte_moderna_e_contemporanea
1003317-8	Freer_Gallery_of_Art
1003320-8	National_Gallery_of_Canada
1003324-5	Tate_Gallery
10033448-9	Constantin_Film
10034179-2	Universit%C3%A4tsklinikum_Hamburg-Eppendorf
10034317-X	Melodie_der_Welt_%28Musikverlag%29
10034659-5	Koordinierungsstelle_Magdeburg
10034680-7	Herbartgymnasium_Oldenburg
10034760-5	Kunstraum_Kreuzberg%2FBethanien
1003478-X	Europ%C3%A4ische_Gemeinschaft_f%C3%BCr_Kohle_und_Stahl
1003482-1	Sacra_Rituum_Congregatio
1003491-2	%C3%89cole_pratique_des_hautes_%C3%A9tudes
1003497-3	%C3%89cole_fran%C3%A7aise_de_Rome
1003505-9	Eichendorff-Gesellschaft
10035228-5	Muzeum_Gda%C5%84ska
1003559-X	Ernst-Barlach-Haus
10035835-4	Di%C3%B6zesanmuseum_Eichst%C3%A4tt
1003599-0	Marketing-_und_Verlagsservice_des_Buchhandels
10036890-6	Villa_Aurora
1003698-2	Bayerische_Verwaltung_der_staatlichen_Schl%C3%B6sser%2C_G%C3%A4rten_und_Seen
10037195-4	Institut_f%C3%BCr_Staatspolitik
10037806-7	Schloss_Neuhardenberg
10037841-9	Thomas-M%C3%BCntzer-Gesellschaft
10037886-9	University_of_Hawai%CA%BBi_at_M%C4%81noa
1003849-8	Allgemeine_%C3%84rztliche_Gesellschaft_f%C3%BCr_Psychotherapie
10038587-4	Staatliche_Fachakademie_f%C3%BCr_Fotodesign_M%C3%BCnchen
1003864-4	Berliner_Gesellschaft_f%C3%BCr_Anthropologie%2C_Ethnologie_und_Urgeschichte
10038641-6	IWF_Wissen_und_Medien
1003867-X	Allgemeine_Anthroposophische_Gesellschaft
10039212-X	Andere_Zeiten
1003922-3	Ford_Foundation
1003939-9	Bertrand_Russell_Peace_Foundation
1003945-4	Wenner-Gren_Foundation_for_Anthropological_Research
1004001-8	Royal_Anthropological_Institute_of_Great_Britain_and_Ireland
1004046-8	British_Film_Institute
10040527-7	Reiss-Engelhorn-Museen
10040797-3	Kompetenzzentrum_%E2%80%93_Trier_Center_for_Digital_Humanities
10040803-5	Republikanische_Partei_Deutschlands_%281924%29
10040950-7	VGH-Stiftung
10041041-8	Deutsches_Institut_f%C3%BCr_Menschenrechte
10042320-6	Lentos_Kunstmuseum_Linz
10042613-X	Kronberg_Academy
10043194-X	Gossner_Mission
10043345-5	Polskie_Linie_Lotnicze_LOT
10043603-1	Varnhagen_Gesellschaft
10043872-6	Duisburger_Philharmoniker
