10000022-8	Arnold_Sch%C3%B6nberg_Center
1000004-5	Pontificia_Accademia_Romana_di_Archeologia
1000017-3	Accademia_delle_Scienze_di_Torino
100001718	Ferdinando_Pa%C3%ABr
1000021-5	Accademia_Toscana_di_Scienze_e_Lettere_%E2%80%9ELa_Colombaria%E2%80%9C
1000029-X	Deutsches_Adelsarchiv
10000492X	Johann_Christian_Fick
1000054-9	Abtei_Saint-Martin_de_Ligug%C3%A9
10000596-2	Skulpturensammlung_und_Museum_f%C3%BCr_Byzantinische_Kunst
1000060-4	Abtei_Maria_Laach
10000655-3	Zander_%26_Labisch
10000748-X	Arye-Maimon-Institut_f%C3%BCr_Geschichte_der_Juden
10000783-1	Stadtwerke_Baden-Baden
1000093-8	American_Academy_in_Rome
10000955-4	Deutsches_Forum_f%C3%BCr_Kunstgeschichte
100009670	Jean-Jacques_Amp%C3%A8re
100011152	Christian_Karl_Andr%C3%A9
10001186-X	University_of_New_South_Wales
10001464-1	Walter-von-Baeyer-Gesellschaft_f%C3%BCr_Ethik_in_der_Psychiatrie
100015999	Johann_Ludwig_Gottfried
100016642	Joseph_von_Arneth
1000168-2	Kunstverein_N%C3%BCrnberg
100017045	Ignaz_Ferdinand_Arnold
10001819-1	Rolf-Dieter-Brinkmann-Gesellschaft
100019382	Nicolaus_von_Avancini
100020739	Georg_Ludwig_von_Bar
10002078-1	Verlag_Schnell_und_Steiner
10002085-9	C%26A
10002191-8	Reichsschuldenverwaltung
10002548-1	Josip-Juraj-Strossmayer-Universit%C3%A4t_Osijek
10002788-X	Schloss_Neu-Augustusburg
1000282-0	D%C3%A9partement_Haut-Rhin
10002833-0	Theater_Erfurt
1000286-8	Archives_nationales
1000288-1	Generalstaatsarchiv
1000299-6	Archivo_General_de_Simancas
100029973	Burkhard_Gotthelf_Struve
1000302-2	Internationaler_Archivrat
100031900	Johann_Friedrich_II._%28Sachsen%29
10003233-3	K%C3%BCnstlerhaus_Lukas
10003392X	Franz_Xaver_Amand_Berghofer
100034225	Johann_Andreas_Benignus_Bergstr%C3%A4sser
1000352-6	American_Anthropological_Association
10003732-X	Kulturhistorisches_Museum_G%C3%B6rlitz
1000418-X	American_Historical_Association
10004303-3	Botho-Lucas-Chor
1000449-X	Association_for_Symbolic_Logic
10004698-8	Kunstmuseum_Bayreuth
100048552	Laurent_Bordelon
10004862-6	DFF_%E2%80%93_Deutsches_Filminstitut_%26_Filmmuseum
10004989-8	Arch%C3%A4ologisches_Museum_Istanbul
100049974	Giuseppe_Francesco_Borri
100050395	Jean_Baptiste_Bory_de_Saint-Vincent
1000505-5	American_Political_Science_Association
1000515-8	British_Sociological_Association
10005175-3	Museum_Georg_Sch%C3%A4fer
100052223	Jean-Fran%C3%A7ois_de_Bourgoing
100052517	Carlo_Giuseppe_Guglielmo_Botta
100053106	Guillaume-Hyacinthe_Bougeant
100054315	Johann_Gottfried_Dyck
100054781	Franz_Anton_Alexander_von_Braune
100054927	Maximilian_Blaimhofer
1000559-6	Associazione_Nazionale_Archivistica_Italiana
100056083	Johann_Heinrich_Bremi
100056660	Christian_Wilhelm_Kindleben
100057136	Johann_David_Hartmann
100057306	Karl_Christian_von_Berckheim
100059376	Richard_Fran%C3%A7ois_Philippe_Brunck
10005992-2	Voggenreiter_Verlag
10006046-8	Volkssolidarit%C3%A4t
100062067	Johann_Gabriel_Bernhard_B%C3%BCschel
1000622-9	Katholische_Akademie_in_Bayern
100062350	Jean_Alexandre_Buchon
100062776	Johann_Gottlieb_Buhle
1000628-X	Bayerische_Akademie_der_Sch%C3%B6nen_K%C3%BCnste
10006374-3	Neues_Museum_%28Berlin%29
100063934	Ernst_Carl_Ludwig_Ysenburg_von_Buri
10006440-1	Internationales_K%C3%BCnstlerhaus_Villa_Concordia
1000645-X	Akademie_f%C3%BCr_Lehrerfortbildung_und_Personalf%C3%BChrung
10006857-1	Stiftung_Zollverein
10006882-0	Stiftung_Haus_der_Geschichte_der_Bundesrepublik_Deutschland
10006883-2	Zeitgeschichtliches_Forum_Leipzig
100069983	Nikolaus_von_Reusner
10007113-2	Mainfranken_Theater_W%C3%BCrzburg
10007187-9	Gebr%C3%BCder_Paetel_Verlag
10007243-4	Coimbra-Gruppe
100074642	Giovanni_Battista_Casanova
100076262	Anne-Claude-Philippe%2C_Comte_de_Caylus
10007715-8	%C3%96sterreichisches_Literaturforum
10007770-5	Kunsthalle_G%C3%B6ppingen
10007800-X	NIOD_Instituut_voor_Oorlogs-%2C_Holocaust-_en_Genocidestudies
10007894X	Guillaume_Amfrye_de_Chaulieu
10007934-9	Bundesministerium_f%C3%BCr_Klimaschutz%2C_Umwelt%2C_Energie%2C_Mobilit%C3%A4t%2C_Innovation_und_Technologie
10007943-X	Aktion_Mensch
100082505	Bernhard_Joseph_Docen
100086683	Antonio_Coello
10008741-3	LWL-Museum_f%C3%BCr_Arch%C3%A4ologie_und_Kultur%2C_Westf%C3%A4lisches_Landesmuseum
10008807-7	Tuchfabrik_%28Kulturzentrum%29
100089925	Karl_von_Conta
100092438	Gottlieb_Siegmund_Corvinus
10009431-4	Routledge_%28Verlag%29
1000952-8	Frick_Collection
1000953-X	Teachers_College
100097928	Carl_Wilhelm_Cruse
10009932-4	Haus_Schlesien
100099459	Johann_Albert_Fabricius
10009955-5	Edding
1001002-6	Kenyon_College
100100236	Karl_von_Decker
100100465	Ferdinand_Karl_%28%C3%96sterreich-Tirol%29
100100600	Hermann_Adalbert_Daniel
10010164-1	Haude_und_Spener
100101844	Johann_Friedrich_Degen
100102840	Johann_Friedrich_Ferdinand_Delbr%C3%BCck
100103979	Johann_Daniel_Denso
10010486-1	Ringier
1001061-0	American_Jewish_Committee
100106137	Joseph_Anton_von_Destouches
100108253	Dionysius_von_Luxemburg
100109551	Friedrich_Wilhelm_D%C3%B6ring
10011037-X	Horst-Janssen-Museum
10011070-8	Stiftung_Brandenburger_Tor
100112269	Ernst_Christoph_Dressler
100112439	Karl_Georg_D%C3%BCmge
100113842	Wilhelm_Drumann
1001140-7	Serbische_Akademie_der_Wissenschaften_und_K%C3%BCnste
1001148-1	Alliance_Isra%C3%A9lite_Universelle
100115454	Anne_Marguerite_Petit_Du_Noyer
100116450	Karl_Egon_Ebert
1001165-1	Arnold-Bergstraesser-Institut
100116523	Johann_Arnold_Ebert
100118569	Joseph_Hilarius_Eckhel
100118623	Matthias_Alexander_Ecker
10011881X	Christoph_Marquard_Ed
10011906-2	Museum_Giersch
100119360	Friedrich_Wilhelm_Eichholz
100120393	Christian_von_Eggers
100120784	Christian_Gottfried_Elben
100120849	Johann_Sigismund_Elsholtz
100121039	Christian_Friedrich_Elvers
10012191-3	SANAA
100122434	Stephan_Ladislaus_Endlicher
100123406	Michael_Leopold_Enk_von_der_Burg
100123848	Georg_Adolf_Erman
10012396-X	Tate_Britain
10012495X	Christian_Daniel_Erhard
100125077	Heinrich_Gottfried_von_Bretschneider
10012653-4	Deutsch-Franz%C3%B6sische_Brigade
10012714-9	Museum_f%C3%BCr_Kommunikation_Hamburg
100127401	Franz_Albert_von_Friedrich
10012822X	Paolo_Frisi
1001286-2	Oberlin_College
100129048	Ludwig_Fronhofer
100130313	Georg_Gustav_F%C3%BClleborn
100130488	Nikolai_Nathan_F%C3%BCrst
100130828	Louis-Philippe_de_S%C3%A9gur
10013131X	Karl_Wilhelm_Ferdinand_von_Funck
100131751	Franz_Fu%C3%9F
100132170	Joseph_Anselm_Feuerbach
100132936	Gottlob_Nathanael_Fischer
100133037	Johann_Carl_Fischer_%28Mathematiker%29
10013498X	Johann_Michael_Fleischer
100135846	Karl_Friedrich_Fl%C3%B6gel
100136605	Thomas_Heinrich_Gadebusch
10013675-8	Theater_Plauen-Zwickau
10013855-X	DEFA-Stiftung
10014151X	Johann_Andreas_Gen%C3%9Fler
1001420-2	American_Jewish_Congress
100142028	Theophil_Georgi
100142044	Carl_Friedrich_Gerstlacher
1001421-4	J%C3%BCdischer_Weltkongress
100143539	Christian_Friedrich_Germershausen
100143695	Johann_Isaak_von_Gerning
10014451-2	Berufsverband_Information_Bibliothek
100145965	Johann_Jakob_Norbert_Grund
100146694	Otto_Friedrich_Gruppe
1001468-8	Akademie_der_P%C3%A4dagogischen_Wissenschaften_der_DDR
1001473-1	Kungliga_Vitterhets_Historie_och_Antikvitets_Akademien
1001476-7	Svenska_Akademien_%28Band%29
10014764-1	Donauschw%C3%A4bisches_Zentralmuseum
100149715	Christian_Heinrich_Gmelin
10014974X	Ferdinand_Gottlieb_von_Gmelin
10015047-0	Amtsgericht_Friedberg_%28Bayern%29
1001507-3	Schlesische_Bibliothek
100150853	Nikolaus_Thadd%C3%A4us_von_G%C3%B6nner
100151310	August_Goldfu%C3%9F
1001526-7	Oettingen-Wallersteinsche_Bibliothek
1001527-9	Staatliche_Bibliothek_Regensburg
100153860	Karl_Friedrich_H%C3%A4berlin
1001540-1	Biblioth%C3%A8que_nationale_du_Luxembourg
1001545-0	Biblioth%C3%A8que_nationale_et_universitaire_de_Strasbourg
100155324	Johann_Gottfried_Hagemeister
1001564-4	Deutsche_Bischofskonferenz
100157947	Karl_Hammerd%C3%B6rfer
100158218	Ferdinand_Gotthelf_Hand
100158250	Franz_Ludwig_Haller_von_K%C3%B6nigsfelden
100158463	Karl_Felix_Halm
100158706	Johann_Michael_Hamann
10015896-1	Collegium_Helveticum
10015960-6	Landesmuseum_Natur_und_Mensch_Oldenburg
100160026	Edmund_von_Harold
100160719	Carl_Friedrich_Alexander_Hartmann
100161049	Philipp_Karl_Hartmann
10016213-7	Oper_Bonn
100162258	Adolph_Henke
100162371	Leo_Victor_Felix_Henckel_von_Donnersmarck
100162878	Leopold_von_Henning
10016403-1	Orchestra_dell%E2%80%99Accademia_Nazionale_di_Santa_Cecilia
100164994	Ferdinand_Ignaz_Herbst
100165206	Ludwig_von_He%C3%9F
100166326	Carl_Herlo%C3%9Fsohn
100166725	Franz_Jakob_Hermann
100166962	Karl_Heinrich_Heydenreich
10016774-3	Katholischer_Medienverband
10016806X	August_Kahlert
10016823X	Christian_Gottlob_Kayser
100168337	Johann_Friedrich_Kayser
1001684-3	Consiglio_Nazionale_delle_Ricerche
100169252	Karl_Wilhelm_Gottlob_Kastner
100169805	Jean-Baptiste_Labat
10017020-1	Bayerische_Theaterakademie_August_Everding
10017027-4	PEN-Zentrum_Deutschland
100170307	Gautier_de_Costes_de_La_Calpren%C3%A8de
1001709-4	South_African_Broadcasting_Corporation
1001716-1	RAND_Corporation
10017173-4	Freie_Universit%C3%A4t_Bozen
100173217	Johann_Gebhard_Maa%C3%9F
10017375-5	Otto-Suhr-Institut
100176410	Maximilian_Joseph_von_Lamberg
100177085	Friedrich_Ludwig_Keller
100178405	Carl_Friedrich_Cramer
100178626	Heinrich_Immanuel_Kl%C3%BCpfel
10018006X	Joseph_Ernst_von_Koch-Sternfeld
100180191	Christian_Heinrich_Gottlieb_K%C3%B6chy
100180930	Johann_Martin_Lappenberg
10018197X	Vincencio_Juan_de_Lastanosa
100185657	Jean_Antoine_Letronne
1001857-8	Ministerrat_der_Deutschen_Demokratischen_Republik
10018617-8	Tschaikowsky-Symphonieorchester_des_Moskauer_Rundfunks
10018726-2	Liedehrlich
10018827-8	Ephraim-Palais
100189555	Simon_L%E2%80%99Huilier
100190014	Hinrich_Lichtenstein
100191290	Maurus_Lindemayr
10019149-6	Museum_f%C3%BCr_Gegenwartskunst_%28Siegen%29
100191592	Johann_Gotthelf_Lindner
100192742	Gottfried_Bernhard_Loos
100193587	Johann_Christian_Lossius
100198090	Josef_von_Mader
10019848-X	Richard-Wossidlo-Gymnasium_%28Ribnitz-Damgarten%29
100199399	Raffaello_Maffei
100200710	Christoph_von_Hellwig
100200850	Theodor_von_Kretschmann
10020126-X	Literaturhaus_Mattersburg
1002024-X	Fondation_Hardt_pour_l%E2%80%99%C3%A9tude_de_l%E2%80%99antiquit%C3%A9_classique
