Q23	George%20Washington%20signature.svg
Q42	Douglas%20Adams%20signature.svg
Q76	Barack%20Obama%20signature.svg
Q91	Abraham%20Lincoln%201862%20signature.svg
Q207	GeorgeWBush%20Signature.svg
Q254	Wolfgang%20Amadeus%20Mozart%20Signature.svg
Q255	Beethoven%20Signature.svg
Q260	Jean-Fran%C3%A7ois%20Champollion%2C%20signature.jpg
Q272	Paul%20Morand%20signature.jpg
Q296	Claude%20Monet%20Signature.svg
Q297	Felipe%20IV%20de%20casta%C3%B1o%20y%20plata%2C%20by%20Diego%20Vel%C3%A1zquez%20%28detail%20%E2%80%93%20Vel%C3%A1zquez%20signature%29.jpg
Q301	El%20Greco%20signature.gif
Q303	Elvispresley-logo.svg
Q307	Galileo%20Galilei%20Signature%202.svg
Q329	Nicolas%20Sarkozy%20signature.svg
Q352	Hitler%E2%80%99s%20signature%20%281944%29.svg
Q360	Julian%20Assange%20Autograph.svg
Q368	Signature%20of%20Augusto%20Pinochet.svg
Q392	Bob%20Dylan%20signature.svg
Q440	Salvador%20Allende%20signature.svg
Q444	Lech%20Walesa%20Signature.svg
Q448	Denis%20Diderot%20signature.svg
Q449	Cdp%20Brassens%20signature%20cropped.jpg
Q493	Arthur%20Rimbaud%20signature.svg
Q501	Baudelaire%20signatur.svg
Q502	Signature%20de%20Henri%20Beyle%20%28Stendhal%29.png
Q504	Zola%20signature.svg
Q512	%D0%90%D0%B2%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%20%D0%92.%20%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA%D0%BE%D0%B3%D0%BE.png
Q517	Napoleon%20signature.svg
Q529	Louis%20Pasteur%20Signature.svg
Q535	Victor%20Hugo%20Signature.svg
Q539	Appletons%27%20Garibaldi%20Giuseppe%20signature.png
Q557	Patti%20Smith%20signature.svg
Q567	Angela%20Merkel%20Signature.svg
Q590	Lu%C3%ADs%20de%20Cam%C3%B5es%20firma.png
Q619	Nicolaus%20Copernicus%20signature%20%28podpis%20Miko%C5%82aja%20Kopernika%29.svg
Q687	Firma%20de%20Moliere.svg
Q687	Moli%C3%A8re%20signature.svg
Q692	William%20Shakespeare%20Signature.svg
Q720	Cengiz%20Haqan%20in%20Old%20Uyghur%20script.svg
Q742	Racine%20signature%2029933.jpg
Q747	Pierre%20Corneille%2C%20signature.jpg
Q755	Paul%20Verlaine%20signature.svg
Q762	Da%20Vinci%20Signature.svg
Q765	Dario%20Fo%20firma.svg
Q767	Signature%20St%C3%A9phane%20Mallarm%C3%A9.jpg
Q835	Mikhail%20Bulgakov%20signature.svg
Q855	Signature%20of%20Joseph%20Stalin.png
Q862	Iosif%20Brodsky%20signature.jpg
Q882	Firma%20de%20Charles%20Chaplin.svg
Q885	J%C3%B3zef%20Pi%C5%82sudski%20Signature.svg
Q905	Franz%20Kafka%27s%20signature.svg
Q909	Jorge%20Luis%20Borges%20firma.svg
Q926	Roald%20Amundsen%20Signature.svg
Q927	Harry%20Mulisch%20signature.svg
Q935	Isaac%20Newton%20signature%20ws.svg
Q937	Albert%20Einstein%20signature%201934.svg
Q989	Signature%20of%20John%20Paul%20II.svg
Q991	Fyodor%20Dostoyevsky%20Signature.svg
