Q73580	DarknessAtNoon.jpg
Q74287	The%20Hobbit%20-%20title%20page%20of%20first%20American%20print.jpg
Q176465	Hedda%20Gabler.jpg
Q75840	%D0%9E%D0%B1%D0%BB%D0%BE%D0%B6%D0%BA%D0%B0%20%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD-%D0%B3%D0%B0%D0%B7%D0%B5%D1%82%D1%8B%201928%20%D0%B3.jpg
Q80115	Daniel%27s%20Answer%20to%20the%20King%2C%20by%20Briton%20Riviere%2C%20GMIII%20MCAG%201937%20123-001.jpg
Q82464	Lippincott%20doriangray.jpg
Q82530	Mercier%20Louis-S%C3%A9bastien%2C%20L%27An%20deux%20mille%20quatre%20cent%20quarante%201771.jpg
Q83186	Romeo%20and%20juliet%20brown.jpg
Q83599	Portada%20de%20los%20Comentarios%20reales%20de%20los%20incas%20-%201609.jpg
Q86440	Miranda%20-%20The%20Tempest%20JWW.jpg
Q92640	AlicesAdventuresInWonderlandTitlePage.jpg
Q96321	Deutsches%20W%C3%B6rterbuch%20Grimm%20-%20Titel%20Band%201.png
Q104871	Midsommer%20nights%20dreame%201600%20Quarto%20title%20page.jpg
Q107388	BookOfDurrowBeginMarkGospel.jpg
Q108652	Edda.jpg
Q112015	Bremer%20Stadtmusikanten.jpg
Q112587	Eureka%2C%20a%20prose%20poem%20-%20page%2050%20diagram.png
Q114640	Una%20riva%20circondata%20da%20rocce%2C%20bozzetto%20di%20Tito%20Azzolini%20per%20L%27Olandese%20Volante%20%281878%29%20-%20Archivio%20Storico%20Ricordi%20ICON002164.jpg
Q117293	Poor%20Folk-1.png
Q119709	Cover%20Das%20Sein%20und%20das%20Nichts.jpg
Q123397	P.%20Oxy.%20LII%203679.jpg
Q123397	Politeia%20beginning.%20Codex%20Parisinus%20graecus%201807.jpg
Q127021	Wandmalerei%20im%20Tanzcafe%20LiBella.jpg
Q127149	Lolita%201955.JPG
Q128610	Madeleine%20Potter%20and%20Peter%20Siteri%20in%20Loves%20Labor%27s%20Lost.jpg
Q128918	Renard%20-%20Poil%20de%20Carotte%2C%201902-009.jpg
Q129493	Umbria%2C%20jacopo%20da%20varazze%2C%20leggenda%20aurea%2C%201290%20ca.%2001.jpg
Q129778	Blackwood%27s%20Magazine%20-%201899%20cover.jpg
Q129778	Houghton%20EC9%20C7638%20902y%20%28A%29%20-%20Conrad%2C%20Heart%20of%20Darkness%201.jpg
Q130283	First-page-first-folio-macbeth.jpg
Q130283	Sir%20Nathaniel%20Dance-Holland%20The%20Daggers%20Being%20Given%20to%20Lady%20Macbeth%20nd.jpg
Q130851	Much%20Ado%20Quarto.JPG
Q130924	Kalevala1.jpg
Q131478	Hamburg.Spiegel.Nordwest.wmt.JPG
Q131478	Hamburg.Spiegel.Nordwest.wmt.JPG
Q131478	Hamburg.Spiegel.Nordwest.wmt.JPG
Q131554	Nibelungenlied%20manuscript-c%20f1r.jpg
Q135515	The%20Sound%20and%20the%20Fury%20%281929%201st%20ed%20dust%20jacket%29.jpg
Q137052	1954%20%283%29%20Felix%20Krull%20Commons.jpg
Q137869	Germinal%20first%20edition%20cover.jpg
Q138174	La%20vida%20es%20sue%C3%B1o%2C%20en%20el%2035%20Festival%20Internacional%20del%20Teatro%20Cl%C3%A1sico%2003.jpg
Q138640	Kinder%20und%20Hausm%C3%A4rchen%20%28Grimm%29%201812%20I%20130.jpg
Q140050	Gabriela%2C%20Cravo%20e%20Canela.jpg
Q140453	Wunderhorn.1874.titel.jpg
Q140527	Dartagnan-musketeers.jpg
Q142278	Swinegel3.jpg
Q145212	Krabat%20Rabe%20in%20Schwarzkollm.jpg
Q146866	Resurrection%201899.jpg
Q147787	AnnaKareninaTitle.jpg
Q148643	Oedipus.jpg
Q150827	Christie%27s%20auction%20scan%20of%20Frankenstein%201818.jpg
Q151599	Horst%20von%20Harbou%20-%20Metropolis%20set%20photograph%2005.jpg
Q151883	Goethe%201774.JPG
Q152564	Volkischer%20Beobachter.JPG
Q154255	Munich%20Agreement%20Bundesarchiv%20Bild%20183-R69173.jpg
Q156435	Cacciatore%20%28coro%29%2C%20figurino%20di%20Giuseppe%20Palanti%20per%20Der%20Freischutz%20%281906%29%20-%20Archivio%20Storico%20Ricordi%20ICON009381.jpg
Q156435	Der%20Freisch%C3%BCtz%20um%201822.jpg
Q156911	Berlin%20Anhalter%20Bahnhof.jpg
Q158047	The-Blue-Angel-Dietrich.jpg
Q158047	The-Blue-Angel-Dietrich.jpg
Q161531	Tolstoy%20-%20War%20and%20Peace%20-%20first%20edition%2C%201869.jpg
Q162062	Sapirstein%20Rashi.jpg
Q163027	Grimm%27s%20Kinder-%20und%20Hausm%C3%A4rchen%2C%20Erster%20Theil%20%281812%29.cover.jpg
Q163297	L%27%C3%89tranger%20-%20Albert%20Camus.jpg
Q164543	Waarom-ik-geen-christen-ben.jpg
Q164974	Olivertwist%20front.jpg
Q165318	Cover%20of%20the%20first%20edition%20of%20Crime%20and%20Punishment.jpg
Q166489	Sachsenspiegel%20die%20wahl%20des%20deutschen%20K%C3%B6nigs.jpg
Q168201	Max%20Devrient%20Zawisch.jpg
Q170583	PrideAndPrejudiceTitlePage.jpg
Q171277	Aida%20poster%20colors%20fixed.jpg
Q171277	Tempio%20di%20Vulcano%20e%20sotterraneo%2C%20bozzetto%20di%20Girolamo%20Magnani%20per%20Aida%20%281872%29%20-%20Archivio%20Storico%20Ricordi%20ICON000142.jpg
Q172152	Stille%20nacht.jpg
Q172324	Desdemona%20%28soprano%29%2C%20figurino%20di%20Alfredo%20Edel%20per%20Otello%20%281887%29%20-%20Archivio%20Storico%20Ricordi%20ICON000887%20B.jpg
Q172324	Francesco%20Tamagno%20as%20Otello%201887%20-%20Sadie%201992%204p639.jpg
Q172324	Poster%20Otello%20by%20Giuseppe%20Verdi.jpg
Q172850	Il%20nome%20della%20rosa%20%28dall%27omonimo%20romanzo%20di%20Umberto%20Eco%29.JPG
Q175570	Carl%20Spitzweg%20-%20%22The%20Bookworm%22.jpg
Q177334	Andorra%20in%20Halle.jpg
Q178091	Peter%20Weiss%2C%20Abschied%20von%20den%20Eltern%201980.jpg
Q179110	Don%20Carlos%20poster.png
Q180471	Lettres%20de%20mon%20moulin%20de%20Daudet.jpg
Q181488	Gullivers%20travels.jpg
Q181598	King%20Lear.jpg
Q181937	I%20Ching%20Song%20Dynasty%20print.jpg
Q182692	Flickr%20-%20law%20keven%20-%20Apocalypse%20Now%5E.......minus%20the%20Helicopters...jpg
Q183157	Dostoevsky-Brothers%20Karamazov.jpg
Q183304	Troilus%20and%20Cressida.JPG
Q184222	Franz%20Kafka%20Die%20Verwandlung%201916%20Orig.-Pappband.jpg
Q184742	Hayden%20White%2011.jpg
