Q15144	UMass%20Boston%20campus.jpg
Q15574	Bonython%20Hall.jpg
Q15920	Metallica%20March%202024.jpg
Q16402	Monty%20python%20collage.jpg
Q16947	Tongjidaxue%20Tushuguan.JPG
Q16947	Tongjidaxue%20Tushuguan.JPG
Q16947	Tongjidaxue%20Tushuguan.JPG
Q16952	PekingUniversityPic6.jpg
Q16952	PekingUniversityPic6.jpg
Q17427	18th%20National%20Congress%20of%20the%20Communist%20Party%20of%20China.jpg
Q18233	ABBA%20-%20TopPop%201974%205.png
Q19675	Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg
Q19675	Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg
Q19675	Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg
Q19675	Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg
Q19675	Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg
Q19899	Charlottenburg%20rbb-Sendezentrum.jpg
Q21578	ClevelandTowerWatercolor20060829.jpg
Q22555	Goethe-Gymnasium%20Germersheim%20Aulabau.jpg
Q22780	Sarajevo%2C%20knihovna.jpg
Q22838	Kleine%20Greifengasse%2014%20Speyer.jpg
Q23283	L%27H%C3%B4tel%2C%2013%20rue%20des%20Beaux-Arts%2C%20Paris%206e.jpg
Q23308	British%20Library%20%2B%20St%20Pancras%207527-31hug.jpg
Q23402	Gare%20d%27Orsay%20%2849570190081%29.jpg
Q23565	ARD-Hochhaus.jpg
Q49135	Courtyard%2C%20Isabella%20Stewart%20Gardner%20Museum%2C%20Boston.jpg
Q49135	ISGardnerMuseum.JPG
Q49165	Frost%20Library%2C%20Amherst%20College.jpg
Q49206	Campus%20view%20-%20University%20of%20Connecticut%20-%20DSC09948.JPG
Q49207	Thompson%20Hall%2C%20UNH%20Sunset.jpg
Q49210	NYU07.JPG
Q49653	ARD-Hauptstadtstudio%20%28aus%20Nordwesten%29.jpg
Q49738	Bundesarchiv%20Bild%20183-S97609%2C%20Berlin%2C%20Akademie%20der%20Wissenschaften.jpg
Q49739	S%C3%BCdharzreise%2022%20%E2%80%93%20Panorama-Museum%20in%20Bad%20Frankenhausen.jpg
Q117892	WWF%20Schweiz%2C%20Z%C3%BCrich%20Office%20%28Ank%20Kumar%2C%20Infosys%20Limited%29%2001.jpg
Q119161	Ruemlingen%20viadukto%20220.JPG
Q119239	Badge%20%28AM%201996.71.191-1%29.jpg
Q119239	Luise%20Lampert%20NS-Frauenschaft%201933.png
Q119239	Ns%20frauenschaft%20lapel%20pin%20Moment.jpg
Q122288	Oegb.JPG
Q122453	Stuttgart%20-%20Keplerstra%C3%9Fe%207.jpg
Q123759	Pan%20American%20Building%2C%20Washington.jpg
Q123885	Royal%20Society%2020040420.jpg
Q125921	London%2C%20Barbican%20Hall%2C%202015-5.JPG
Q126971	Altonaer%20Museum.jpg
Q127005	Stuttgart%20Holtzbrink-Zentrale.jpg
Q127005	Stuttgart%20Holtzbrink-Zentrale.jpg
Q127990	University%20House%20ANU%20Canberra%20%282948649223%29.jpg
Q128781	Balkenkreuz.svg
Q129421	Aerial%20view%20of%20UC%20Davis.jpg
Q312	Apple%20park%20cupertino%202019.jpg
Q396	U2%20on%20Joshua%20Tree%20Tour%202017%20Brussels%208-1-17.jpg
Q511	Palais%20St%20Pierre%20Lyon1%20fr%20facade%20Terreaux.JPG
Q537	Waldemarsudde%20April%202006.JPG
Q1003	Strajk%20sierpniowy%20w%20Stoczni%20Gda%C5%84skiej%20im.%20Lenina%2034.jpg
Q1065	General%20Assembly%20of%20the%20United%20Nations.jpg
Q1299	Beatles%20ad%201965%20just%20the%20beatles%20crop.jpg
Q1299	Beatles%20Trenter%201963.jpg
Q1377	University%20of%20Ljubljana%20Palace.jpg
Q1378	UniverzaMaribor.jpg
Q2283	Building92microsoft.jpg
Q2306	PinkFloyd1973%20retouched.jpg
Q4027	University%20Lyon%20III.jpg
Q4205	Op%C3%A9ra%20de%20Lyon%20-%20DSC05470.JPG
Q4614	052607-016-BovardHall-USC.jpg
Q4614	052607-016-BovardHall-USC.jpg
Q4872	Gmii.jpg
Q4890	Dresden-Zwinger-Courtyard.11.JPG
Q6373	British%20Museum%20from%20NE%202%20%28cropped%29.JPG
Q6373	British%20Museum%20from%20NE%202%20%28cropped%29.JPG
Q7000	Silbermond%20-%20Deutscher%20Radiopreis%20Hamburg%202016%2001.jpg
Q7184	%D0%9D%D0%90%D0%A2%D0%9E%20%D0%A1%D0%B0%D0%BC%D0%B8%D1%82%202021%20NATO%20Summit%202021%20-14.06.2021-%20%2851245988182%29.jpg
Q7320	Bundesarchiv%20Bild%20102-10541%2C%20Weimar%2C%20Aufmarsch%20der%20Nationalsozialisten.jpg
Q7332	Bergen%20Belsen%20Liberation%2003.jpg
Q7341	Birkenau%20m%C3%BAzeum%20-%20panoramio%20%28cropped%29.jpg
Q7414	Walt%20Disney%20Studios%20Alameda%20Entrance.jpg
Q7414	Walt%20Disney%20Studios%20Alameda%20Entrance.jpg
